"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"19/06/2012","98 Curragh Birin, Castletroy, Limerick","","Limerick","€142,500.00","No","Second-Hand Dwelling house /Apartment",""
"20/06/2012","102 RICHMOND COURT, MOUNT KENNETH, DOCK ROAD","","Limerick","€48,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/06/2012","57 Woodfield Grove, Newcastlewest","","Limerick","€150,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/06/2012","Castletown House, castletown, Kilmallock","","Limerick","€41,666.00","Yes","Second-Hand Dwelling house /Apartment",""
"20/06/2012","Cloughnadromin, Ballysimon","","Limerick","€28,500.00","No","Second-Hand Dwelling house /Apartment",""
"21/06/2012","82 Kilteragh, Dooradoyle, Limerick","","Limerick","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/06/2012","DALY'S CROSS, CASTLECONNELL, COUNTY LIMERICK","","Limerick","€500,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/06/2012","KILGOBBIN, ADARE","","Limerick","€248,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/06/2012","5 Stoneymeadows, Old Cratloe Road","","Limerick","€132,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/06/2012","9 The Blackthorns, Lower Church, Raheen","","Limerick","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/06/2012","13 caemore court, croom","","Limerick","€71,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"26/06/2012","Bawnreagh, Askeaton","","Limerick","€7,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"26/06/2012","Mondellihy, Dromcollogher","","Limerick","€53,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/06/2012","ARDNACROHY, NEWCASTLE WEST","","Limerick","€150,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"27/06/2012","Ballinacarriga, Kildimo, Co. Limerick","","Limerick","€82,500.00","No","Second-Hand Dwelling house /Apartment",""
"27/06/2012","Suncroft, 21  Westfields, North Circular Road","","Limerick","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/06/2012","41 Scanlon Park, Castleconnell","","Limerick","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/06/2012","Skehanagh, Crecora","","Limerick","€300,000.00","No","Second-Hand Dwelling house /Apartment",""
